smiles,He_Permeability_Barrer
*=NP(=NP(=*)(Oc1ccc(OC)cc1)Oc1ccccc1CC=C)(OCCCOCCOC)Oc1ccc(OC)cc1,16.99999999
*=NP(=NP(=*)(Oc1ccccc1)Oc1ccc([Si](C)(C)C)cc1)(Oc1ccc(Br)cc1)Oc1ccc([Si](C)(C)C)cc1,61.79999999
*=NP(=NP(=*)(Oc1ccccc1)Oc1ccc([Si](C)(C)c2ccccc2)cc1)(Oc1ccc(Br)cc1)Oc1ccc([Si](C)(C)c2ccccc2)cc1,20.69999998
*=NP(=NP(=*)(Oc1ccccc1)Oc1ccc([Si](C)(c2ccccc2)c2ccccc2)cc1)(Oc1ccc(Br)cc1)Oc1ccc([Si](C)(c2ccccc2)c2ccccc2)cc1,10.5
*C(=C(*)c1ccc(C(C)(C)C)cc1)c1ccc(O)cc1,190.0
*C(=C(*)c1ccc(C(C)(C)C)cc1)c1ccc(O[Si](C)(C)C(C)(C)C)cc1,530.0000005
*C(=C(*)c1ccc([Si](C)(C)C)cc1)c1ccc(O[Si](C)(C)C(C)(C)C)cc1,789.9999995
*C(=C(*)c1ccc2c(c1)C(C)(C)c1cc(Br)ccc1-2)c1ccccc1,1500.0
*C(=C(*)c1ccc2c(c1)C(C)(C)c1cc([Si](C)(C)C)ccc1-2)c1ccccc1,3400.0
*C(=C(*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1cc(F)cc(F)c1,2100.000001
*C(=C(*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(Br)cc1,3400.0
*C(=C(*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(C(C)(C)C)cc1,2699.999999
*C(=C(*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(F)c(F)c1,4999.999996
*C(=C(*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(F)cc1,4600.000003
*C(=C(*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc([Si](C)(C)C)cc1,520.0000004
*C(=C(*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1cccc(F)c1,4100.000003
*C(=C(*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccccc1,3199.999998
*C(=C(*)c1ccc2c(c1)C1(CC1)c1ccccc1-2)c1ccc([Si](C)(C)C)cc1,839.9999999
*C(=C(*)c1ccc2c(c1)C1(CC1)c1ccccc1-2)c1ccccc1,599.9999995
*C(=C(*)c1cccc(O)c1)c1ccc(C(C)(C)C)cc1,810.0000002
*C(=C(*)c1cccc(O[Si](C)(C)C(C)(C)C)c1)c1ccc(C(C)(C)C)cc1,1600.000001
*C(=C(*)c1cccc(O[Si](C)(C)C(C)(C)C)c1)c1ccc([Si](C)(C)C)cc1,839.9999999
*C(=O)COc1c(Br)cc(C(C)(C)c2cc(Br)c(OC(=O)c3cc(*)cc(C(C)(C)C)c3)c(Br)c2)cc1Br,41.60000004
*C(=O)COc1c(Br)cc(C(c2cc(Br)c(OC(=O)c3cc(*)cc(C(C)(C)C)c3)c(Br)c2)(C(F)(F)F)C(F)(F)F)cc1Br,124.0
*C(=O)COc1c(Br)cc2c(c1Br)C(C)(C)c1cc(Br)c(OC(=O)c3cc(*)cc(C(C)(C)C)c3)c(Br)c1-2,94.39999994
*C(=O)Nc1ccc(C2(c3ccc(NC(=O)c4cc(*)cc(C(C)(C)C)c4)cc3)c3ccccc3-c3ccccc32)cc1,53.4
*C(=O)Oc1c(Br)cc(C(C)(C)c2cc(Br)c(OC(=O)c3cc(*)cc(C(C)(C)C)c3)c(Br)c2)cc1Br,41.60000004
*C(=O)Oc1c(Br)cc(C2(c3cc(Br)c(OC(=O)c4cc(*)cc(C(C)(C)C)c4)c(Br)c3)OC(=O)c3ccccc32)cc1Br,51.29999999
*C(=O)Oc1c(Br)cc(C2(c3cc(Br)c(OC(=O)c4cc(*)cc(C(C)(C)C)c4)c(Br)c3)c3ccccc3-c3ccccc32)cc1Br,94.39999994
*C(=O)Oc1ccc(C(C)(C)c2ccc(OC(=O)c3cc(*)cc(C(C)(C)C)c3)cc2)cc1,34.3
*C(=O)Oc1ccc(C(c2ccc(OC(=O)c3cc(*)cc(C(C)(C)C)c3)cc2)(C(F)(F)F)C(F)(F)F)cc1,91.10000001
*C(=O)Oc1ccc(C2(c3ccc(OC(=O)c4cc(*)cc(C(C)(C)C)c4)cc3)OC(=O)c3ccccc32)cc1,35.6
*C(=O)Oc1ccc(C2(c3ccc(OC(=O)c4cc(*)cc(C(C)(C)C)c4)cc3)c3ccccc3-c3ccccc32)cc1,45.90000005
